Asymmetry_Score_1,Asymmetry_Score_2,Border_Irregularity_Score,Color_Asymmetry_Score_1,Color_Asymmetry_Score_2,Texture_Contrast_Score,Texture_Dissimilarity_Score
0.03284,0.01479,0.004982,62.12,2.479,119.44,2.303
0.9805,0.1583,0.001948,18.23,1.848,37.06,0.755
0.01689,0.005665,0.00629,228.0,5.41,421.5,6.117
0.06573,0.0197,0.001978,17.78,0.4116,89.1,1.165
0.161,0.05655,0.00783,156.9,4.746,355.2,4.773
0.0828,0.04868,0.00333,91.2,1.185,234.9,2.861
0.5815,0.0609,0.000928,5.715,0.1356,23.95,0.3386
0.0744,0.01997,0.012856,122.94,6.508,287.8,4.637
0.0637,0.01988,0.004486,229.0,3.094,276.8,2.82
0.991,0.02165,0.0006557,4.203,0.2864,31.17,0.3562
0.1287,0.04898,0.004044,68.1,1.546,166.5,1.657
0.145,0.0479,0.003492,48.4,1.233,102.44,1.629
0.01826,0.003452,0.005314,136.2,1.523,217.1,3.646
0.1262,0.0502,0.002565,127.75,1.997,173.4,2.342
0.0818,0.02449,0.00966,264.0,6.027,449.8,4.902
0.1094,0.0604,0.00611,116.3,2.818,411.2,5.35
0.4727,0.1422,0.005196,204.4,6.22,324.5,3.28
0.05734,0.01962,0.01152,140.9,3.318,364.8,5.56
